,Buy_Sell,POSITION,drawdown profit,Cum drawdown profit,HighValue,Drawdown,hdfc
0,1454.6500244140625,1,,,,,
1,1462.550048828125,1,7.9000244140625,7.9000244140625,7.9000244140625,0.0,4345.013427734375
2,1466.3499755859375,1,3.7999267578125,11.699951171875,11.699951171875,0.0,2089.959716796875
3,1403.5999755859375,1,-62.75,-51.050048828125,11.699951171875,-62.75,-34512.5
4,1384.050048828125,1,-19.5499267578125,-70.5999755859375,11.699951171875,-82.2999267578125,-10752.459716796875
5,1414.050048828125,1,30.0,-40.5999755859375,11.699951171875,-52.2999267578125,16500.0
6,1454.300048828125,1,40.25,-0.3499755859375,11.699951171875,-12.0499267578125,22137.5
7,1422.300048828125,1,-32.0,-32.3499755859375,11.699951171875,-44.0499267578125,-17600.0
8,1420.1500244140625,1,-2.1500244140625,-34.5,11.699951171875,-46.199951171875,-1182.513427734375
9,1430.75,1,10.5999755859375,-23.9000244140625,11.699951171875,-35.5999755859375,5829.986572265625
10,1432.699951171875,1,1.949951171875,-21.9500732421875,11.699951171875,-33.6500244140625,1072.47314453125
11,1440.8499755859375,1,8.1500244140625,-13.800048828125,11.699951171875,-25.5,4482.513427734375
12,1442.5999755859375,1,1.75,-12.050048828125,11.699951171875,-23.75,962.5
13,1459.550048828125,1,16.9500732421875,4.9000244140625,11.699951171875,-6.7999267578125,9322.540283203125
14,1452.6500244140625,1,-6.9000244140625,-2.0,11.699951171875,-13.699951171875,-3795.013427734375
15,1449.3499755859375,1,-3.300048828125,-5.300048828125,11.699951171875,-17.0,-1815.02685546875
16,1445.75,1,-3.5999755859375,-8.9000244140625,11.699951171875,-20.5999755859375,-1979.986572265625
17,1440.699951171875,1,-5.050048828125,-13.9500732421875,11.699951171875,-25.6500244140625,-2777.52685546875
18,1447.9000244140625,1,7.2000732421875,-6.75,11.699951171875,-18.449951171875,3960.040283203125
19,1470.5,1,22.5999755859375,15.8499755859375,15.8499755859375,0.0,12429.986572265625
20,1480.1500244140625,1,9.6500244140625,25.5,25.5,0.0,5307.513427734375
21,1482.300048828125,1,2.1500244140625,27.6500244140625,27.6500244140625,0.0,1182.513427734375
22,1527.5999755859375,1,45.2999267578125,72.949951171875,72.949951171875,0.0,24914.959716796875
23,1549.550048828125,1,21.9500732421875,94.9000244140625,94.9000244140625,0.0,12072.540283203125
24,1509.25,1,-40.300048828125,54.5999755859375,94.9000244140625,-40.300048828125,-22165.02685546875
25,1531.300048828125,1,22.050048828125,76.6500244140625,94.9000244140625,-18.25,12127.52685546875
26,1510.75,1,-20.550048828125,56.0999755859375,94.9000244140625,-38.800048828125,-11302.52685546875
27,1529.5,1,18.75,74.8499755859375,94.9000244140625,-20.050048828125,10312.5
28,1532.25,1,2.75,77.5999755859375,94.9000244140625,-17.300048828125,1512.5
29,1455.25,1,-77.0,0.5999755859375,94.9000244140625,-94.300048828125,-42350.0
30,1460.949951171875,1,5.699951171875,6.2999267578125,94.9000244140625,-88.60009765625,3134.97314453125
31,1460.25,1,-0.699951171875,5.5999755859375,94.9000244140625,-89.300048828125,-384.97314453125
32,1464.0999755859375,1,3.8499755859375,9.449951171875,94.9000244140625,-85.4500732421875,2117.486572265625
33,1458.800048828125,1,-5.2999267578125,4.1500244140625,94.9000244140625,-90.75,-2914.959716796875
34,1459.199951171875,1,0.39990234375,4.5499267578125,94.9000244140625,-90.35009765625,219.9462890625
35,1492.5999755859375,1,33.4000244140625,37.949951171875,94.9000244140625,-56.9500732421875,18370.013427734375
36,1517.199951171875,1,24.5999755859375,62.5499267578125,94.9000244140625,-32.35009765625,13529.986572265625
37,1527.699951171875,1,10.5,73.0499267578125,94.9000244140625,-21.85009765625,5775.0
38,1530.5,1,2.800048828125,75.8499755859375,94.9000244140625,-19.050048828125,1540.02685546875
39,1514.8499755859375,1,-15.6500244140625,60.199951171875,94.9000244140625,-34.7000732421875,-8607.513427734375
40,1531.550048828125,1,16.7000732421875,76.9000244140625,94.9000244140625,-18.0,9185.040283203125
41,1551.800048828125,1,20.25,97.1500244140625,97.1500244140625,0.0,11137.5
42,1573.3499755859375,1,21.5499267578125,118.699951171875,118.699951171875,0.0,11852.459716796875
43,1564.800048828125,1,-8.5499267578125,110.1500244140625,118.699951171875,-8.5499267578125,-4702.459716796875
44,1580.75,1,15.949951171875,126.0999755859375,126.0999755859375,0.0,8772.47314453125
45,1596.9000244140625,1,16.1500244140625,142.25,142.25,0.0,8882.513427734375
46,1607.800048828125,1,10.9000244140625,153.1500244140625,153.1500244140625,0.0,5995.013427734375
47,1657.8499755859375,1,50.0499267578125,203.199951171875,203.199951171875,0.0,27527.459716796875
48,1669.3499755859375,1,11.5,214.699951171875,214.699951171875,0.0,6325.0
49,1665.75,1,-3.5999755859375,211.0999755859375,214.699951171875,-3.5999755859375,-1979.986572265625
