,Buy_Sell,POSITION,drawdown profit,Cum drawdown profit,HighValue,Drawdown,pnb
0,104.5,1,,,,,
1,107.5,1,3.0,3.0,3.0,0.0,24000.0
2,109.25,1,1.75,4.75,4.75,0.0,14000.0
3,114.4000015258789,1,5.150001525878906,9.900001525878906,9.900001525878906,0.0,41200.01220703125
4,118.8499984741211,1,4.4499969482421875,14.349998474121094,14.349998474121094,0.0,35599.9755859375
5,125.4000015258789,1,6.5500030517578125,20.900001525878906,20.900001525878906,0.0,52400.0244140625
6,123.9000015258789,1,-1.5,19.400001525878906,20.900001525878906,-1.5,-12000.0
7,122.0999984741211,1,-1.8000030517578125,17.599998474121094,20.900001525878906,-3.3000030517578125,-14400.0244140625
8,122.94999694824219,1,0.8499984741210938,18.449996948242188,20.900001525878906,-2.4500045776367188,6799.98779296875
9,128.85000610351562,1,5.9000091552734375,24.350006103515625,24.350006103515625,0.0,47200.0732421875
10,130.14999389648438,1,1.29998779296875,25.649993896484375,25.649993896484375,0.0,10399.90234375
11,129.5,1,-0.649993896484375,25.0,25.649993896484375,-0.649993896484375,-5199.951171875
12,129.0,1,-0.5,24.5,25.649993896484375,-1.149993896484375,-4000.0
13,121.8499984741211,1,-7.150001525878906,17.349998474121094,25.649993896484375,-8.299995422363281,-57200.01220703125
14,124.8499984741211,1,3.0,20.349998474121094,25.649993896484375,-5.299995422363281,24000.0
15,126.05000305175781,1,1.2000045776367188,21.550003051757812,25.649993896484375,-4.0999908447265625,9600.03662109375
16,129.6999969482422,1,3.649993896484375,25.199996948242188,25.649993896484375,-0.4499969482421875,29199.951171875
17,130.35000610351562,1,0.6500091552734375,25.850006103515625,25.850006103515625,0.0,5200.0732421875
18,129.85000610351562,1,-0.5,25.350006103515625,25.850006103515625,-0.5,-4000.0
19,120.6500015258789,1,-9.200004577636719,16.150001525878906,25.850006103515625,-9.700004577636719,-73600.03662109375
20,120.0,1,-0.6500015258789062,15.5,25.850006103515625,-10.350006103515625,-5200.01220703125
21,121.05000305175781,1,1.0500030517578125,16.550003051757812,25.850006103515625,-9.300003051757812,8400.0244140625
22,122.75,1,1.6999969482421875,18.25,25.850006103515625,-7.600006103515625,13599.9755859375
23,123.94999694824219,1,1.1999969482421875,19.449996948242188,25.850006103515625,-6.4000091552734375,9599.9755859375
24,124.4000015258789,1,0.45000457763671875,19.900001525878906,25.850006103515625,-5.950004577636719,3600.03662109375
25,125.5999984741211,1,1.1999969482421875,21.099998474121094,25.850006103515625,-4.750007629394531,9599.9755859375
26,126.69999694824219,1,1.0999984741210938,22.199996948242188,25.850006103515625,-3.6500091552734375,8799.98779296875
27,135.14999389648438,1,8.449996948242188,30.649993896484375,30.649993896484375,0.0,67599.9755859375
28,136.5500030517578,1,1.4000091552734375,32.05000305175781,32.05000305175781,0.0,11200.0732421875
29,136.3000030517578,1,-0.25,31.800003051757812,32.05000305175781,-0.25,-2000.0
30,134.85000610351562,1,-1.4499969482421875,30.350006103515625,32.05000305175781,-1.6999969482421875,-11599.9755859375
31,132.85000610351562,1,-2.0,28.350006103515625,32.05000305175781,-3.6999969482421875,-16000.0
32,129.5500030517578,1,-3.3000030517578125,25.050003051757812,32.05000305175781,-7.0,-26400.0244140625
33,128.25,1,-1.3000030517578125,23.75,32.05000305175781,-8.300003051757812,-10400.0244140625
34,133.10000610351562,1,4.850006103515625,28.600006103515625,32.05000305175781,-3.4499969482421875,38800.048828125
35,133.0,1,-0.100006103515625,28.5,32.05000305175781,-3.5500030517578125,-800.048828125
36,135.89999389648438,1,2.899993896484375,31.399993896484375,32.05000305175781,-0.6500091552734375,23199.951171875
37,136.4499969482422,1,0.5500030517578125,31.949996948242188,32.05000305175781,-0.100006103515625,4400.0244140625
38,137.25,1,0.8000030517578125,32.75,32.75,0.0,6400.0244140625
39,141.0500030517578,1,3.8000030517578125,36.55000305175781,36.55000305175781,0.0,30400.0244140625
40,124.80000305175781,1,-16.25,20.300003051757812,36.55000305175781,-16.25,-130000.0
41,123.9000015258789,1,-0.9000015258789062,19.400001525878906,36.55000305175781,-17.150001525878906,-7200.01220703125
42,125.75,1,1.8499984741210938,21.25,36.55000305175781,-15.300003051757812,14799.98779296875
43,125.1500015258789,1,-0.5999984741210938,20.650001525878906,36.55000305175781,-15.900001525878906,-4799.98779296875
44,125.0999984741211,1,-0.0500030517578125,20.599998474121094,36.55000305175781,-15.950004577636719,-400.0244140625
45,126.4000015258789,1,1.3000030517578125,21.900001525878906,36.55000305175781,-14.650001525878906,10400.0244140625
46,126.6500015258789,1,0.25,22.150001525878906,36.55000305175781,-14.400001525878906,2000.0
47,126.44999694824219,1,-0.20000457763671875,21.949996948242188,36.55000305175781,-14.600006103515625,-1600.03662109375
48,129.5500030517578,1,3.100006103515625,25.050003051757812,36.55000305175781,-11.5,24800.048828125
49,128.0500030517578,1,-1.5,23.550003051757812,36.55000305175781,-13.0,-12000.0
50,127.44999694824219,1,-0.600006103515625,22.949996948242188,36.55000305175781,-13.600006103515625,-4800.048828125
51,129.4499969482422,1,2.0,24.949996948242188,36.55000305175781,-11.600006103515625,16000.0
52,137.0,1,7.5500030517578125,32.5,36.55000305175781,-4.0500030517578125,60400.0244140625
53,121.8499984741211,1,-15.150001525878906,17.349998474121094,36.55000305175781,-19.20000457763672,-121200.01220703125
54,123.9000015258789,1,2.0500030517578125,19.400001525878906,36.55000305175781,-17.150001525878906,16400.0244140625
55,125.0999984741211,1,1.1999969482421875,20.599998474121094,36.55000305175781,-15.950004577636719,9599.9755859375
