,Buy_Sell,POSITION,drawdown profit,Cum drawdown profit,HighValue,Drawdown,Profit_for_lot
0,1635.5,1,,,,,
1,1640.0,1,4.5,4.5,4.5,0.0,1575.0
2,1651.550048828125,1,11.550048828125,16.050048828125,16.050048828125,0.0,4042.51708984375
3,1660.75,1,9.199951171875,25.25,25.25,0.0,3219.98291015625
4,1703.550048828125,1,42.800048828125,68.050048828125,68.050048828125,0.0,14980.01708984375
5,1727.6500244140625,1,24.0999755859375,92.1500244140625,92.1500244140625,0.0,8434.991455078125
6,1660.449951171875,1,-67.2000732421875,24.949951171875,92.1500244140625,-67.2000732421875,-23520.025634765625
7,1657.050048828125,1,-3.39990234375,21.550048828125,92.1500244140625,-70.5999755859375,-1189.9658203125
8,1765.050048828125,1,108.0,129.550048828125,129.550048828125,0.0,37800.0
9,1835.550048828125,1,70.5,200.050048828125,200.050048828125,0.0,24675.0
10,1848.550048828125,1,13.0,213.050048828125,213.050048828125,0.0,4550.0
11,1853.6500244140625,1,5.0999755859375,218.1500244140625,218.1500244140625,0.0,1784.991455078125
12,1859.6500244140625,1,6.0,224.1500244140625,224.1500244140625,0.0,2100.0
13,1910.3499755859375,1,50.699951171875,274.8499755859375,274.8499755859375,0.0,17744.98291015625
14,1929.949951171875,1,19.5999755859375,294.449951171875,294.449951171875,0.0,6859.991455078125
15,1950.5999755859375,1,20.6500244140625,315.0999755859375,315.0999755859375,0.0,7227.508544921875
16,1932.4000244140625,1,-18.199951171875,296.9000244140625,315.0999755859375,-18.199951171875,-6369.98291015625
17,1972.949951171875,1,40.5499267578125,337.449951171875,337.449951171875,0.0,14192.474365234375
18,1939.25,1,-33.699951171875,303.75,337.449951171875,-33.699951171875,-11794.98291015625
19,1970.6500244140625,1,31.4000244140625,335.1500244140625,337.449951171875,-2.2999267578125,10990.008544921875
20,1895.1500244140625,1,-75.5,259.6500244140625,337.449951171875,-77.7999267578125,-26425.0
21,1890.550048828125,1,-4.5999755859375,255.050048828125,337.449951171875,-82.39990234375,-1609.991455078125
22,1856.050048828125,1,-34.5,220.550048828125,337.449951171875,-116.89990234375,-12075.0
23,1865.8499755859375,1,9.7999267578125,230.3499755859375,337.449951171875,-107.0999755859375,3429.974365234375
24,1878.800048828125,1,12.9500732421875,243.300048828125,337.449951171875,-94.14990234375,4532.525634765625
25,1881.1500244140625,1,2.3499755859375,245.6500244140625,337.449951171875,-91.7999267578125,822.491455078125
26,1921.3499755859375,1,40.199951171875,285.8499755859375,337.449951171875,-51.5999755859375,14069.98291015625
27,1971.949951171875,1,50.5999755859375,336.449951171875,337.449951171875,-1.0,17709.991455078125
28,1989.300048828125,1,17.35009765625,353.800048828125,353.800048828125,0.0,6072.5341796875
29,2002.699951171875,1,13.39990234375,367.199951171875,367.199951171875,0.0,4689.9658203125
30,2013.300048828125,1,10.60009765625,377.800048828125,377.800048828125,0.0,3710.0341796875
31,2078.10009765625,1,64.800048828125,442.60009765625,442.60009765625,0.0,22680.01708984375
32,2090.89990234375,1,12.7998046875,455.39990234375,455.39990234375,0.0,4479.931640625
33,2082.89990234375,1,-8.0,447.39990234375,455.39990234375,-8.0,-2800.0
34,2058.449951171875,1,-24.449951171875,422.949951171875,455.39990234375,-32.449951171875,-8557.48291015625
35,2096.85009765625,1,38.400146484375,461.35009765625,461.35009765625,0.0,13440.05126953125
36,2062.050048828125,1,-34.800048828125,426.550048828125,461.35009765625,-34.800048828125,-12180.01708984375
37,2156.35009765625,1,94.300048828125,520.85009765625,520.85009765625,0.0,33005.01708984375
38,2185.14990234375,1,28.7998046875,549.64990234375,549.64990234375,0.0,10079.931640625
39,2224.949951171875,1,39.800048828125,589.449951171875,589.449951171875,0.0,13930.01708984375
40,2212.550048828125,1,-12.39990234375,577.050048828125,589.449951171875,-12.39990234375,-4339.9658203125
41,2269.89990234375,1,57.349853515625,634.39990234375,634.39990234375,0.0,20072.44873046875
42,2302.300048828125,1,32.400146484375,666.800048828125,666.800048828125,0.0,11340.05126953125
43,2371.75,1,69.449951171875,736.25,736.25,0.0,24307.48291015625
44,2514.60009765625,1,142.85009765625,879.10009765625,879.10009765625,0.0,49997.5341796875
45,2522.64990234375,1,8.0498046875,887.14990234375,887.14990234375,0.0,2817.431640625
46,2521.050048828125,1,-1.599853515625,885.550048828125,887.14990234375,-1.599853515625,-559.94873046875
47,2609.199951171875,1,88.14990234375,973.699951171875,973.699951171875,0.0,30852.4658203125
48,2552.800048828125,1,-56.39990234375,917.300048828125,973.699951171875,-56.39990234375,-19739.9658203125
49,2533.64990234375,1,-19.150146484375,898.14990234375,973.699951171875,-75.550048828125,-6702.55126953125
50,2634.0,1,100.35009765625,998.5,998.5,0.0,35122.5341796875
51,2740.949951171875,1,106.949951171875,1105.449951171875,1105.449951171875,0.0,37432.48291015625
52,2857.449951171875,1,116.5,1221.949951171875,1221.949951171875,0.0,40775.0
53,2835.550048828125,1,-21.89990234375,1200.050048828125,1221.949951171875,-21.89990234375,-7664.9658203125
54,2861.699951171875,1,26.14990234375,1226.199951171875,1226.199951171875,0.0,9152.4658203125
55,2928.60009765625,1,66.900146484375,1293.10009765625,1293.10009765625,0.0,23415.05126953125
